lineage,selection_hash,window,selector,captured_regret_tokens,three_stream_mean_regret_tokens,three_stream_mean_paired_diff_vs_learned_tokens
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",0001a28bdbe10ba906cbd6fa49b9e21d0a80ffafee6bdabb1f311ce9640002a4,600,count,4608,4778.666666666667,-9684.333333333334
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",0001a28bdbe10ba906cbd6fa49b9e21d0a80ffafee6bdabb1f311ce9640002a4,600,learned,15360,14463.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",0001a28bdbe10ba906cbd6fa49b9e21d0a80ffafee6bdabb1f311ce9640002a4,600,lfu,15360,14463.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",0001a28bdbe10ba906cbd6fa49b9e21d0a80ffafee6bdabb1f311ce9640002a4,600,lru,4608,4778.666666666667,-9684.333333333334
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",0001a28bdbe10ba906cbd6fa49b9e21d0a80ffafee6bdabb1f311ce9640002a4,600,next_use,4608,4778.666666666667,-9684.333333333334
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",0001a28bdbe10ba906cbd6fa49b9e21d0a80ffafee6bdabb1f311ce9640002a4,end,count,4096,7168.0,-8660.333333333334
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",0001a28bdbe10ba906cbd6fa49b9e21d0a80ffafee6bdabb1f311ce9640002a4,end,learned,13824,15828.333333333334,0.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",0001a28bdbe10ba906cbd6fa49b9e21d0a80ffafee6bdabb1f311ce9640002a4,end,lfu,13824,15828.333333333334,0.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",0001a28bdbe10ba906cbd6fa49b9e21d0a80ffafee6bdabb1f311ce9640002a4,end,lru,4096,7168.0,-8660.333333333334
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",0001a28bdbe10ba906cbd6fa49b9e21d0a80ffafee6bdabb1f311ce9640002a4,end,next_use,4096,7168.0,-8660.333333333334
"conversation_trace|l1=0.0025,l2x1|pi3|s=2",0002309bc36e486aa643794039a7c389838ca23ee8b1688c40cfd3698beb88c5,600,count,1536,3925.3333333333335,-5802.666666666667
"conversation_trace|l1=0.0025,l2x1|pi3|s=2",0002309bc36e486aa643794039a7c389838ca23ee8b1688c40cfd3698beb88c5,600,learned,15872,9728.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=2",0002309bc36e486aa643794039a7c389838ca23ee8b1688c40cfd3698beb88c5,600,lfu,15872,9728.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=2",0002309bc36e486aa643794039a7c389838ca23ee8b1688c40cfd3698beb88c5,600,lru,1536,3925.3333333333335,-5802.666666666667
"conversation_trace|l1=0.0025,l2x1|pi3|s=2",0002309bc36e486aa643794039a7c389838ca23ee8b1688c40cfd3698beb88c5,600,next_use,1536,3925.3333333333335,-5802.666666666667
"conversation_trace|l1=0.0025,l2x1|pi3|s=2",0002309bc36e486aa643794039a7c389838ca23ee8b1688c40cfd3698beb88c5,end,count,21504,11093.333333333334,-8533.333333333334
"conversation_trace|l1=0.0025,l2x1|pi3|s=2",0002309bc36e486aa643794039a7c389838ca23ee8b1688c40cfd3698beb88c5,end,learned,46080,19626.666666666668,0.0
