trace,l1_fraction,l2_multiplier,policy,seed,replicate,window,selector,decisions,mean_regret_tokens,median_regret_tokens,p90_regret_tokens,max_regret_tokens,zero_regret_rate,regret_ge_512_rate,constant_q_decisions,mean_q_range_tokens,mean_spearman
conversation_trace,0.0025,1,pi0,4,0,end,lfu,8,16064.0,14592.0,21248.0,23040,0.0,1.0,0,52480.0,0.010753414361452078
conversation_trace,0.0025,1,pi0,4,0,end,lru,8,28544.0,26368.0,46694.4,51712,0.125,0.875,0,52480.0,-0.11737689464059423
conversation_trace,0.0025,1,pi0,4,0,end,next_use,8,27392.0,28416.0,46694.4,51712,0.125,0.875,0,52480.0,-0.03699010645317028
conversation_trace,0.0025,1,pi0,4,1,600,count,2,22784.0,22784.0,32000.0,34304,0.0,1.0,0,47104.0,-0.053002135925291245
conversation_trace,0.0025,1,pi0,4,1,600,learned,2,27136.0,27136.0,31641.6,32768,0.0,1.0,0,47104.0,0.0025356884912559503
conversation_trace,0.0025,1,pi0,4,1,600,lfu,2,18176.0,18176.0,29849.600000000002,32768,0.0,1.0,0,47104.0,0.18490544771049092
conversation_trace,0.0025,1,pi0,4,1,600,lru,2,22784.0,22784.0,32000.0,34304,0.0,1.0,0,47104.0,-0.24765875364226786
conversation_trace,0.0025,1,pi0,4,1,600,next_use,2,22784.0,22784.0,32000.0,34304,0.0,1.0,0,47104.0,0.14803580807020952
conversation_trace,0.0025,1,pi0,4,1,end,count,2,18176.0,18176.0,32716.8,36352,0.5,0.5,0,55296.0,0.12430891592441615
conversation_trace,0.0025,1,pi0,4,1,end,learned,2,28416.0,28416.0,35993.600000000006,37888,0.0,1.0,0,55296.0,0.08471808715930182
conversation_trace,0.0025,1,pi0,4,1,end,lfu,2,22528.0,22528.0,34816.0,37888,0.0,1.0,0,55296.0,0.2605294141528954
conversation_trace,0.0025,1,pi0,4,1,end,lru,2,18176.0,18176.0,32716.8,36352,0.5,0.5,0,55296.0,-0.2764925353166326
conversation_trace,0.0025,1,pi0,4,1,end,next_use,2,18176.0,18176.0,32716.8,36352,0.5,0.5,0,55296.0,0.31116917816099765
conversation_trace,0.0025,1,pi0,4,2,600,count,2,14336.0,14336.0,25804.8,28672,0.5,0.5,0,48128.0,0.11051879689673155
conversation_trace,0.0025,1,pi0,4,2,600,learned,2,20480.0,20480.0,21708.8,22016,0.0,1.0,0,48128.0,0.2833048157483711
conversation_trace,0.0025,1,pi0,4,2,600,lfu,2,22272.0,22272.0,22476.8,22528,0.0,1.0,0,48128.0,0.09636804909839886
conversation_trace,0.0025,1,pi0,4,2,600,lru,2,14336.0,14336.0,25804.8,28672,0.5,0.5,0,48128.0,-0.007750011072246106
conversation_trace,0.0025,1,pi0,4,2,600,next_use,2,14336.0,14336.0,25804.8,28672,0.5,0.5,0,48128.0,-0.024170124726023194
conversation_trace,0.0025,1,pi0,4,2,end,count,2,12288.0,12288.0,22118.4,24576,0.5,0.5,0,62464.0,0.19692654859815117
conversation_trace,0.0025,1,pi0,4,2,end,learned,2,20736.0,20736.0,22169.6,22528,0.0,1.0,0,62464.0,0.2957242263142932
conversation_trace,0.0025,1,pi0,4,2,end,lfu,2,23808.0,23808.0,24832.0,25088,0.0,1.0,0,62464.0,0.12115684800777422
conversation_trace,0.0025,1,pi0,4,2,end,lru,2,12288.0,12288.0,22118.4,24576,0.5,0.5,0,62464.0,-0.05331788347490532
conversation_trace,0.0025,1,pi0,4,2,end,next_use,2,12288.0,12288.0,22118.4,24576,0.5,0.5,0,62464.0,0.010754007181494385
conversation_trace,0.0025,1,pi3,0,0,600,count,8,10752.0,10240.0,18688.0,20480,0.125,0.875,0,29615.625,0.15822499158267053
conversation_trace,0.0025,1,pi3,0,0,600,learned,8,24559.625,24832.0,31385.6,31744,0.0,1.0,0,29615.625,-0.18502799880701282
conversation_trace,0.0025,1,pi3,0,0,600,lfu,8,21088.75,20932.5,28723.2,31232,0.0,1.0,0,29615.625,-0.08142844981514882
conversation_trace,0.0025,1,pi3,0,0,600,lru,8,10752.0,10240.0,18688.0,20480,0.125,0.875,0,29615.625,0.325313250835581
conversation_trace,0.0025,1,pi3,0,0,600,next_use,8,10752.0,10240.0,18688.0,20480,0.125,0.875,0,29615.625,0.22163867925725203
conversation_trace,0.0025,1,pi3,0,0,end,count,8,11648.0,12800.0,17920.0,17920,0.125,0.875,0,31023.625,0.21255715808356884
conversation_trace,0.0025,1,pi3,0,0,end,learned,8,26543.625,27136.0,34099.2,34816,0.0,1.0,0,31023.625,-0.10891644752846662
conversation_trace,0.0025,1,pi3,0,0,end,lfu,8,22496.75,21694.5,29491.199999999997,33792,0.0,1.0,0,31023.625,-0.034522119276666215
conversation_trace,0.0025,1,pi3,0,0,end,lru,8,11648.0,12800.0,17920.0,17920,0.125,0.875,0,31023.625,0.2326428220073098
conversation_trace,0.0025,1,pi3,0,0,end,next_use,8,11648.0,12800.0,17920.0,17920,0.125,0.875,0,31023.625,0.2616686350324176
conversation_trace,0.0025,1,pi3,0,1,600,count,2,4096.0,4096.0,5734.4,6144,0.0,1.0,0,33607.5,0.47014332011202975
