trace,policy,capacity_fraction,population,horizon_seconds,seeds,population_size_mean,snapshots,auc_mean,auc_ci95_half,average_precision_mean,average_precision_ci95_half,precision_at_100_mean,precision_at_100_ci95_half,prevalence_mean,prevalence_ci95_half
conversation_trace,learned_history,0.02,cached,60,5,3542.066666666667,24,0.6441093368582282,0.007341561291306948,0.2341452057807052,0.002386340232928102,0.26875000000000004,0.009114944322375225,0.14330638748735053,0.001762492843882268
conversation_trace,learned_history,0.02,cached,300,5,3542.066666666667,24,0.6309507998247278,0.007984940786468246,0.5320924722628764,0.0020446582193369466,0.66325,0.017103028893542024,0.39562389612089577,0.003631805762792119
conversation_trace,learned_history,0.02,cached,600,5,3542.066666666667,24,0.6240504435806749,0.00435935149954032,0.6193214135898888,0.0026348068420381197,0.73075,0.014827907269739706,0.49803110426982966,0.0019218006683735982
conversation_trace,learned_history,0.02,leaves,60,5,189.825,24,0.5422065377588303,0.006228965267842497,0.19995585197129706,0.0028327183845910054,0.16208333333333333,0.00362093941156465,0.15061676912142594,0.001081861317876411
conversation_trace,learned_history,0.02,leaves,300,5,189.825,24,0.5686148545437318,0.008112095819434659,0.4566530834000396,0.006728952319840538,0.42275,0.005578443968626979,0.38328231454396855,0.0009067547231933689
conversation_trace,learned_history,0.02,leaves,600,5,189.825,24,0.563546803606307,0.006303266674813186,0.5186222831619729,0.006119696872651983,0.48650000000000004,0.005881965601168831,0.4502384524809317,0.001097198816931513
conversation_trace,learned_history,0.02,observed,60,5,40000.0,24,0.9012765303414518,0.0011854816121419304,0.13626091823079334,0.002469639558135661,0.24641666666666667,0.012068196836681477,0.011955,0.00020190046560399723
conversation_trace,learned_history,0.02,observed,300,5,40000.0,24,0.8803471056486055,0.0010733564460253078,0.3080365461834521,0.002417975424161202,0.6295833333333334,0.008129647115479418,0.035940625,6.991019065160602e-05
conversation_trace,learned_history,0.02,observed,600,5,40000.0,24,0.8609742299189351,0.0011461605866318907,0.358216750200393,0.0036524239730845293,0.7183333333333334,0.009896092831685323,0.04856020833333334,0.00014737687748780906
conversation_trace,learned_history,0.02,observed_protocol,60,5,40000.0,24,0.9025503467032046,0.001302734405187771,0.14526424606661573,0.0020346479492805475,0.27516666666666667,0.013930992442911058,0.011955,0.00020190046560399723
conversation_trace,learned_history,0.02,observed_protocol,300,5,40000.0,24,0.8803032680730241,0.0010129633917650616,0.3181280434981409,0.0024222666671240177,0.6515833333333333,0.009328213691091445,0.035940625,6.991019065160602e-05
conversation_trace,learned_history,0.02,observed_protocol,600,5,40000.0,24,0.8611100237072427,0.0010924896198723194,0.36822923765994664,0.0022172411136177875,0.7230000000000001,0.008407940400465374,0.04856020833333334,0.00014737687748780906
conversation_trace,learned_history,0.05,cached,60,5,8856.275000000001,24,0.6692575902444478,0.004672871781927457,0.19164019287872233,0.0027377023092246865,0.26416666666666666,0.006131424431203202,0.0964156291281366,0.0010149502505617765
conversation_trace,learned_history,0.05,cached,300,5,8856.275000000001,24,0.6611495256115913,0.002990581621456863,0.44480089151268415,0.0022753474874772734,0.6490833333333332,0.00473244904885408,0.27215832452457367,0.0014753741026218362
conversation_trace,learned_history,0.05,cached,600,5,8856.275000000001,24,0.6727733740456834,0.004007597918133222,0.5262389313617755,0.0017634451182326804,0.70525,0.008949042617943942,0.34103397635830957,0.002229822833730222
conversation_trace,learned_history,0.05,leaves,60,5,460.4333333333333,24,0.6153428603914091,0.0032158348616788952,0.16451768229307184,0.002305428843991598,0.15591666666666665,0.0034584139910272915,0.09584805495484999,0.0009043363720290212
conversation_trace,learned_history,0.05,leaves,300,5,460.4333333333333,24,0.6296099967453792,0.004580244913274004,0.37331952175413075,0.003381264710245479,0.39966666666666667,0.006254562032806308,0.2468686427006978,0.0034438372590699087
conversation_trace,learned_history,0.05,leaves,600,5,460.4333333333333,24,0.6261047675111311,0.004486810877356443,0.42763971590774463,0.0036675215913983448,0.46366666666666667,0.005635709222843586,0.3004292318932629,0.003723862716280991
conversation_trace,learned_history,0.05,observed,60,5,40000.0,24,0.9022256972427373,0.0011678764747500468,0.13697784399688107,0.002449805373571881,0.25316666666666665,0.014060043401229043,0.011955,0.00020190046560399723
conversation_trace,learned_history,0.05,observed,300,5,40000.0,24,0.8808092174499805,0.00091790265876922,0.306725188919038,0.0018045812042537285,0.6324166666666666,0.010244175559257532,0.035940625,6.991019065160602e-05
conversation_trace,learned_history,0.05,observed,600,5,40000.0,24,0.8616347893053105,0.001045147668534063,0.35428296568472073,0.0020101536137163726,0.7019166666666667,0.012929857196083545,0.04856020833333334,0.00014737687748780906
conversation_trace,learned_history,0.05,observed_protocol,60,5,40000.0,24,0.9025503467032046,0.001302734405187771,0.1452642460666157,0.0020346479492805475,0.27516666666666667,0.013930992442911058,0.011955,0.00020190046560399723
