evaluated_on,fitted_on,standardization,horizon_seconds,auc,auc_std,average_precision,precision_at_100,test_snapshots,mean_positive_states,mean_candidate_states
synthetic_trace,toolagent_trace,train_global,60,0.7790860083451179,0.028824380744068213,0.3017730046336098,0.49666666666666665,24,5046.875,38685.125
synthetic_trace,toolagent_trace,train_global,300,0.8380850838506415,0.011298630723024687,0.6744368612692216,0.8404166666666667,24,11838.541666666666,38685.125
toolagent_trace,conversation_trace,train_global,10,0.9379567247486702,0.02752582154684966,0.12440446097028524,0.09375,24,75.95833333333333,40000.0
toolagent_trace,conversation_trace,train_global,60,0.9387953346809841,0.012313792627948064,0.1775330932029052,0.3041666666666667,24,439.75,40000.0
toolagent_trace,conversation_trace,train_global,300,0.9402285886305887,0.006096963229424374,0.3650149672007108,0.6804166666666666,24,1241.6666666666667,40000.0
toolagent_trace,conversation_trace,train_global,600,0.939256466564642,0.007261730834636861,0.4236324370751559,0.7362500000000001,24,1552.7083333333333,40000.0
toolagent_trace,synthetic_trace,train_global,10,0.7392346222018281,0.12332440927414454,0.030039600699876778,0.023333333333333334,24,75.95833333333333,40000.0
toolagent_trace,synthetic_trace,train_global,60,0.7472575153748678,0.0551294715380808,0.05535720460734864,0.14625,24,439.75,40000.0
toolagent_trace,synthetic_trace,train_global,300,0.7521967619434298,0.022000652419125678,0.12211635620591026,0.2804166666666667,24,1241.6666666666667,40000.0
toolagent_trace,synthetic_trace,train_global,600,0.7395824293893728,0.018683560137022458,0.1403114890609283,0.3166666666666667,24,1552.7083333333333,40000.0
toolagent_trace,toolagent_trace,train_global,10,0.9372880795440227,0.02762327087157329,0.1280615372178201,0.09333333333333334,24,75.95833333333333,40000.0
toolagent_trace,toolagent_trace,train_global,60,0.9385247369953325,0.012398526420640469,0.17921459142255128,0.31125,24,439.75,40000.0
toolagent_trace,toolagent_trace,train_global,300,0.9402208806284608,0.00587900205004918,0.3655910455080796,0.6795833333333334,24,1241.6666666666667,40000.0
toolagent_trace,toolagent_trace,train_global,600,0.9392823895765859,0.007108444394246041,0.42457257180005303,0.7383333333333333,24,1552.7083333333333,40000.0
